"N" "nteeth" "ntime" "truealpha0" "truealpha1" "truealpha2" "truealpha3" "truebeta0" "truebeta1" "truebeta2" "truebeta3" "truenu" "truetau" "truerho" "prob_dropout" "variable" "value" "truth" "var"
500 28 6 2 "-0.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.49472161966739 "rrzcwbeta3relbias" -0.157653195589854 "-0.5" "alpha3-2"
500 28 6 2 "-2" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.299691617605831 "rrzcwbeta3relbias" -0.15198427598902 "-2" "alpha3-1"
500 28 6 2 "-0.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.477671000565291 "rrzcwbeta3relbias" 0.168505256512364 "-0.5" "alpha3-2"
500 28 6 2 "-2" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.298938679245283 "ccbeta3relbias" -0.49959766727856 "-2" "alpha3-1"
500 28 6 2 "-1.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.30837814888197 "bbdcwbeta3relbias" 0.282050681910946 "-1.5" "alpha3-1"
500 28 6 2 "-1" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.443054357204487 "ccbeta3relbias" -0.0337258357111641 "-1" "alpha3-2"
500 28 6 2 "-1" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.325806451612903 "cwbeta3relbias" -0.58828908132816 "-1" "alpha30"
500 28 6 2 "-1" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.32457968598027 "bbdcwbeta3relbias" 0.06542929777544 "-1" "alpha30"
500 28 6 2 "0" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.513154212146655 "cwbeta3relbias" 0.214368944130972 "0" "alpha3-1"
500 28 6 2 "-0.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.468414952187772 "ccbeta3relbias" -0.155429394571956 "-0.5" "alpha3-2"
500 28 6 2 "-2" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.308083006820491 "ccbeta3relbias" -1.37410082052234 "-2" "alpha3-1"
500 28 6 2 "0" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.557627118644068 "bbdcwbeta3relbias" -0.283707283134604 "0" "alpha3-2"
500 28 6 2 "-1" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.34819897084048 "bbdcwbeta3relbias" -0.373289229498004 "-1" "alpha3-1"
500 28 6 2 "-0.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.379027777777778 "cwbeta3relbias" -0.423450331179808 "-0.5" "alpha30"
500 28 6 2 "-0.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.399546613771607 "ccbeta3relbias" -0.900047495602752 "-0.5" "alpha3-1"
500 28 6 2 "-0.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.378876661426326 "bbdcwbeta3relbias" -0.644640132798888 "-0.5" "alpha30"
500 28 6 2 "-1" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.33907883582933 "cwbeta3relbias" 0.90248052486683 "-1" "alpha30"
500 28 6 2 "-0.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.396561944279787 "ccbeta3relbias" 0.62100039322224 "-0.5" "alpha3-1"
500 28 6 2 "-1.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.325414997137951 "cwbeta3relbias" 0.167783561846548 "-1.5" "alpha30"
500 28 6 2 "-1.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.300887489264243 "ccbeta3relbias" -0.821893619363955 "-1.5" "alpha3-1"
